year,date,sitenumber,site,protocol,richness,EPT,MCI,SQMCI,Acarina,Dolomedes aquaticus,Hydra,Antiporus,Elmidae   ,Enochrus,Hydraenidae ,Hydrophilidae ,Ptilodactylidae ,Staphylinidae,Scirtidae ,Rhantus,Copelatus,Podaena,Liodessus,Collembola,Amphipoda,Paranthura,Tanaidacae,Cladocera,Copepoda,Isopoda,Ostracoda,Paracalliope,Paraleptamphopus ,Paranephrops ,Paratya,Anthomyiidae,Aphrophilia,Austrosimulium ,Ceratopogonidae,Chironomus,Chironomidae,Corynoneura,Culex,Culicidae,Dolichopodidae,Empididae,Ephydridae,Eriopterini ,Harrisius,Hexatomini ,Limonia,Limnophora,Lobodiamesa,Maoridiamesa,Mischoderus,Molophilus,Muscidae,Neocurupira ,Neolimnia,Nothodixa,Orthocladiinae,Paradixa ,Paralimnophila,Parochlus,Paucispinigera,Polypedilum,Psychodidae,Sciomyzidae,Stratiomyidae ,Tabanidae ,Tanypodinae,Tanytarsini,Tanytarsus,Thaumaleidae,Zelandotipula,Acanthophlebia ,Ameletopsis ,Arachnocolus ,Atalophlebioides,Austroclima ,Austronella,Coloburiscus ,Deleatidium ,Ichthybotus ,Isothraulus,Mauiulus,Neozephlebia ,Nesameletus ,Oniscigaster,Rallidens,Siphlaenigma,Tepakia,Zephlebia ,Anisops,Diaprepocoris,Microvelia,Saldidae,Sigara,Hirudinea,Hygraula,Archichauliodes,Ferrissia,Gyraulus,Hyridella,Latia,Lymnaeidae,Melanopsis,Physidae,Potamopyrgus ,Sphaeriidae,Nematoda,Nemertea,Nematomorpha,Kempynus,Aeschna,Anisoptera,Antipodochlora ,Austroletes,Hemicordulia,Procordulia,Uropetala,Xanthocnemis,Oligochaeta,Platyhelminthes,Acroperla,Austroperla ,Megaleptoperla ,Nesoperla,Spaniocerca,Stenoperla ,Taraperla,Zelandoperla ,Zelandobius ,Alloecentrella,Aoteapsyche ,Beraeoptera,Confluens,Costachorema ,Ecnomina ,Helicopsyche ,Hudsonema ,Hydrobiosella ,Hydrobiosis ,Hydrochorema,Neurochorema ,Oecetis,Oeconesidae,Olinga,Orthopsyche ,Oxyethira ,Paroxyethira ,Plectrocnemia ,Polyplectropus ,Psilochorema ,Pycnocentria ,Pycnocentrodes,Triplectides ,Tiphobiosis,Zelandoptila,Zelolessica,Polychaeta,Rhabdocoela,Ischnura,Mysidae,Bryozoa
2008,7/03/2008,7213,West Hoe LTB,soft,23,39.13043478,125.2173913,7.738666667,R,,,,,,,,,,,,,,,R,,,,,,,,,,R,R,,R,,,,,,,,,,,,,,R,,,,,,,,,,,C,,,,R,,,,,R,,,,,,,C,,,,,,,R,,R,,,,,,VA,,,C,,,,,,,,,,,,,C,,,,,,,,R,,,,,C,C,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,R,,R,,,,,,
2009,3/02/2009,45368,Ararimu @ Old North Road,soft,24,25,100.8333333,6.126708075,,,,,,,,,,,,,,,,,R,,,,R,,,VA,C,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,R,,,,,C,,,,,,,,,,,,,,,,R,,,,,A,VA,,,,,,,,,R,,,C,,,,A,C,,R,,,,,,,,,,C,A,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,R,,A,,,,,,,,
2009,12/02/2009,8557,Aroaro @ Phillips,soft,34,32.35294118,108.6470588,4.254196429,,,,,VA,,R,,R,,,,,,,,,,,,,,,R,,R,R,R,,A,,,,,,,,R,,,,,,,,,R,,,,,,C,,,,,,,,,,,,R,,,,,,,A,,A,VA,,,,,,,,,,R,,,,,,,,VA,R,,,R,,,R,VVA,,,R,,,,,,,,,,,R,,,,R,,,,,,,,VA,R,,,,,C,,C,,,,,A,,C,,,,R,R,VA,R,,,,,,,,
2009,4/02/2009,7308,Awanohi Lower,soft,24,20.83333333,91.75,4.30474934,R,,,,,,,,,,,,,,,R,,,,,R,,,C,,,VA,,,,,R,,,,,,,,,R,,,,,,,,,,,,,C,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,R,,,,,,,,,C,VA,C,,R,,,,,,,,,,R,C,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,R,,VA,,,,,,,,
2009,11/02/2009,7309,Awanohi Mid,soft,28,28.57142857,115.8571429,4.856071429,R,R,,,,,,,,,,,,,,R,C,,,,,,,A,C,R,A,,,,,,,,,,,,,,R,R,,,,,,,,,,,,A,,,,R,,,,,C,,,,R,,,,,R,,,,,,,R,,,,,A,A,,,R,,,,,R,,,,,,,,VA,R,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,A,,R,,,,,,
2009,10/02/2009,7311,Awanohi Upper 1,soft,18,33.33333333,126.8888889,8.290184049,R,,,,,,,,,,R,,,,,,,,,,R,R,,,,C,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,R,,,,,R,,,,R,,,A,,R,,,,,,,,,,,,A,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,R,,,,,,,,
2009,11/03/2009,45742,Awarere @ Dibble,soft,29,34.48275862,118.6896552,6.779220779,R,,,,R,,,R,,,,,,,,R,R,,,,,,R,,A,R,,,,R,,,,,,,,,,,,R,,,,,,,R,,R,,,A,,,,,,,,,,,,,,,,A,,R,,R,R,,,,R,C,,,R,R,VA,,,R,,,,,R,,,,,,,,A,,,,,,,,,,,,,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,
2009,30/01/2009,7524,Campbells Bay,soft,15,13.33333333,95.46666667,2.875625,R,R,,,,,,,,,,,,,,,R,,,,,,,,,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,C,,,,,,R,,,R,,,,,,R,VA,,,,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,
2009,2/02/2009,44618,Cascades LTB,Hard,35,28.57142857,102.2857143,3.453427065,R,,,,C,,R,,R,,,,,,,R,,,,,,,,,,,,,A,A,,,,,,,,A,,,,,R,,,C,,,R,,,,A,,,,,,,,,,,,VA,,,,,,,,,C,R,,,,,,,,,,R,,,,,,,,R,C,,,A,,,,VA,,,C,,,,,,,,,,,C,R,,R,,R,,,,R,,,VA,,R,R,,,,,R,,R,,,,,VA,R,,,,,A,,,,R,,,,,
2009,30/01/2009,7721,Chatswood,Hard,20,10,72,1.835227273,R,,,,,,,,,,,,,,,R,R,,,,,,,,,,R,,,A,,R,,,,,,R,,,,,R,,,,R,,R,,,,A,,,,,R,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,,,,VA,R,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,
2009,11/02/2009,6606,Duck Creek @ Trotters,soft,27,7.407407407,65.55555556,2.194775435,C,,,,,C,,,,,,,,,,,,,,R,,R,VA,,,,,,,,,A,,,,C,,,,,,,,,,,,,C,,,,C,,,,,R,R,,,,A,,VA,,,,,,,,,,,,,,,,,,,,,,,C,,R,R,,,,,,,,,VA,VVA,R,,,,,,,,C,,R,,VA,VA,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,R,,
2009,17/02/2009,8407,Duders,soft,28,7.142857143,63.64285714,2.829803328,A,,,,,,,,,,,,,,R,C,,,,VA,A,,VA,VA,,,,,,,,C,,,,A,,,,,,,,,,,,,C,,,,R,R,,,,,,,,,A,,R,,,,,,,,,,,,,,,,,,,,,,,R,,R,R,,,,,,,R,,,VA,A,,R,,,,,,,,,,C,VA,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,C,,,,,,,,,A,,,R
2009,11/02/2009,6847,Dyers Creek @ Bush,soft,35,34.28571429,116.1142857,5.788028169,R,,,,,,,R,,,R,,,,,R,C,,,,,R,,,,,R,,,R,,,,,,,,R,,,R,,,,,,,,,,,,C,A,,,,R,,,,,R,,R,,,,,R,,R,,,R,,,,C,R,,,,,VA,,,R,,,,,,,,,C,,,,VA,,,,,,,,,,,,,R,R,,,,C,,,,,,,,,,,,,,C,,,,R,R,,,,,,,C,R,,R,C,,,R,,,,,
2009,11/02/2009,6852,Dyers Creek @ Mid Paddock,soft,33,27.27272727,106.9090909,5.628287841,R,,,,R,,,R,,,,,,,,,R,,,,,,R,C,R,R,C,,,,,,,R,,,,,,,,,,,,,,,R,,,,,A,,,,R,,,,,R,,R,,,,,,,,,,,,,,R,,,,,,VA,,,R,,,,,R,,,,C,,,,VA,,,R,,,,,,,,,,R,R,,,,R,,,,,,,,,,,,,,A,,,,,R,,,,R,,,C,R,R,A,VA,,,,,,,,
2009,5/02/2009,7722,Eskdale Lower,soft,21,9.523809524,78.85714286,2.902230483,R,,,,,,,,,,,,,,,,,,,,,,R,A,,R,A,,,,,R,,,,R,,,,,,,,,,,,,,,R,,,C,,,,R,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,VA,A,,C,,,,,R,,,,,C,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,,,,,
2009,5/02/2009,7723,Eskdale Mid,soft,25,8,78.96,3.942198582,R,,R,,,,,,,,,,,,,R,R,,,,C,,,R,,,A,,,,,C,,,,R,,,,,,,,,,,,,R,,,,R,C,,,,C,,,R,,C,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,C,VA,C,,,,,,,C,,,,,C,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,
2009,5/02/2009,7724,Eskdale Upper,soft,19,31.57894737,121.0526316,5.754901961,C,,,,,,,,,,R,,,,,,,,,,,,,A,,R,A,,,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,R,,,,,R,,,,,,,A,,,,,,,,,,,,,,C,A,,,,,,,,,,,,,,,,A,,,,,,,,R,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,A,,R,,,,,,
2009,11/03/2009,45743,Hoteo @ Kraak Hill,soft,40,25,103.6,5.235120643,C,,R,,A,,,R,R,,,,,,,C,,,,,,,R,,,,,,,A,,,,,,,,,,R,R,,R,,,,,R,R,,R,,C,R,R,,,,,,,,R,,R,,,,,,,C,,,C,,,,R,,,,,A,VA,,,C,,,,,R,R,,,,C,,,VA,,,C,,,,,R,,,,,A,C,,,,,,,,,,,,,,,,,,,,R,,,,,,R,R,,,R,C,,,A,,,,,,R,,
2009,12/02/2009,8552,Hunua @ St Pauls,Hard,37,43.24324324,130.2702703,8.217142857,R,,,,R,,A,,R,,,,,,,R,R,,,,,,,,R,R,,,C,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,VA,,VA,A,R,,,C,C,,,,,A,,,R,,,,,A,R,,,R,,,,C,,,,,,,,,,,,,,R,C,,R,R,,R,,R,R,,,,,,,,R,,,R,,,,,R,A,,,,,R,,,,,,R,,,,,
2009,23/02/2009,45416,Kaukapakapa Ref,soft,19,31.57894737,121.0526316,6.68452381,R,,,,,,,R,,,,,,,,,,,,,,,,A,R,R,C,,,,,,,,,,,R,,,R,,,,,,,,,,,,R,A,,,,,,,,,R,,,,,,,R,,R,,,,,,,R,,,,,,A,,,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,
2009,3/03/2009,43512,Kauritutahi (Awhitu),soft,25,32,114.72,5.616101695,C,,,,R,,,R,,,,,,,,,R,,,,,C,,,A,,,,R,C,,R,,,,,,,,,,,,,,,,,,,R,,R,R,,,,C,R,,,,,,,,,,,,,C,,C,,,,,,,,,,,A,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,R,R,C,R,,,,,,,,,
2009,4/03/2009,1543482,Konini,Hard,34,47.05882353,134.1176471,8.074074074,R,,,,C,,A,,C,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,C,,,C,C,,,,,VA,VA,R,,,,R,,,,,C,,,,,,,,A,,,,R,,,,C,,,,R,,,,,,,,,,R,R,,R,,,R,C,,A,C,,A,R,,,,A,,C,,,,,,A,A,,,,,R,R,,,,,,,,,,
2009,2/03/2009,45369,Kumeu @ Weza,soft,22,9.090909091,67.90909091,3.375819672,R,,,,,,,,,,,,,,,,C,,,A,A,,,VA,,R,R,,,,,,,,,,,,,,C,,,,,,,,R,,,,C,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,,,C,A,,,R,,,,,,,,,,C,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,,,,R,,
2009,29/01/2009,7725,Lignite,soft,27,3.703703704,85.48148148,2.460124224,C,,R,,R,,,,,,,,,,,,C,,,,,R,R,,,,C,,,,,C,,,,,,R,,,R,,,,,,R,,R,,R,,,C,R,,,R,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,VA,VVA,R,,R,,,,,R,,,,,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,
2009,29/01/2009,7899,Lucas LTB @ Tennis,Soft,26,19.23076923,72.46153846,2.98825,R,,R,,,,,,,,,,,,,,R,,,R,,,C,VA,,,R,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,R,,,,,C,,C,VVA,A,,R,,,,,,R,,,,C,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,C,,VA,,R,,,,,,
2009,19/02/2009,6862,Mahu Reference @ Trappit,soft,23,34.7826087,118.0869565,7.493491124,C,,,,,,,,,,,,,,,R,,,,,R,R,,A,C,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,C,,,,R,,,,,R,,,,,,,R,,,,,,,,,,,,,,R,VA,,,,,,,,,,,,,,,,C,R,,,,,,,,,,,,R,C,,,R,,,,,,,R,,,,,,,,,,,,,,R,,,,,,C,,R,,,,,,,,,,
2009,26/02/2009,6850,Mahurangi LTB,soft,28,39.28571429,96.85714286,6.623076923,R,,,,R,,,,,,,,,,,R,,,,,,,,A,,,,,,C,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,C,,R,R,,,,C,,,,,R,VA,,,C,,,,,,,,,,R,,,A,,,,,,,,,,R,,,C,R,R,,,,,,,,,,,,,,,,,R,,,,,R,,,,R,R,R,C,,,,A,,,,,,R,,
2009,18/02/2009,45505,Makarau @ Rail Bridge,soft,31,29.03225806,87.09677419,3.711781609,,,,,R,,,,,,,,,,,R,,,,C,,,,VA,,,A,,,R,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,R,,R,,C,,,,,,,R,,,,,,,,,,,,,A,,,,,,R,,,,,,C,R,,A,VA,R,,,,,,,,,,,,A,R,R,,,R,,,,,,,,,,,,,,C,,,,R,,,,,C,R,,R,,R,C,A,,,,,,,,
2009,18/02/2009,45505,Makarau @ Rail Bridge,soft,27,25.92592593,76.59259259,3.99119171,,,,,A,,,,,,,,,,,,,,,,,,R,VA,,,A,,,C,,,,,,,,,,,,,,,,,,,R,,,,C,,,,,R,,,,,C,,A,,,,,,,R,,,,,,,,,,,,,A,,,,,,C,,,,,,,R,,R,VA,C,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,C,,,,R,,,,,A,R,,,,R,A,A,,,,,R,,,
2009,4/03/2009,1543483,Mangatawhiri,Hard,33,51.51515152,145.4545455,7.081497797,R,,,,A,,C,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,R,,C,,,A,R,,,R,,VA,VA,,,,R,,,,,,R,,,,,,,,C,,,,,,,,R,,,,,,,,,,,,,,,,,C,,,R,C,,A,C,,VA,R,,C,,C,,C,C,,,,,C,C,,,,,R,R,,,,,R,,,,,
2009,25/02/2009,44460,Marawhara ,Hard,41,36.58536585,118.5365854,7.511022044,R,,,,C,,A,,,,,,,,,,,,,,,,R,R,,,C,,R,A,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,R,,,,,R,,R,,,C,R,,,R,,VA,VA,,,,A,,,,,,C,,,,,,R,,C,,,,C,,,,A,,R,C,,,,,,,,,,,,,,,,,,R,,,,,A,R,R,,,A,R,,R,,R,,,VA,R,,,,R,R,R,A,R,,,,,,,,
2009,26/02/2009,6604,Matakana LTB,soft,23,39.13043478,91.47826087,7.248794326,R,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,A,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,R,,,,,R,,,,,,,,,A,,,,,,R,,,,,,,VVA,,,,,,,,,,,,,,,C,VA,,,R,,,,,R,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,C,R,,R,R,,R,A,,,,,,,,
2009,12/02/2009,43720,Mauku Stream @ STP,soft,29,17.24137931,83.10344828,3.247692308,R,,C,,,,,R,,,,,,,,R,C,,,,,,C,,R,,R,,,C,,,,,,,,,,,R,,,,,,,,R,,,,C,,,,,C,R,,,,R,,R,,,,,,,,,,,,,,,,,,,,C,,,R,,,R,,,,,,,,,C,A,,,C,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,R,,A,,,R,,,,C,,,,,R,,,
2009,4/03/2009,1043404,Milne,Hard,40,52.5,138.5,7.677835052,R,,,,A,,R,,R,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,C,,,R,,,,,,,,,,R,,,,,R,,,,,,,C,,,C,R,,,R,,VA,VA,C,,,R,R,,,,,A,,,,,,,,A,,,,,,,,C,,,R,,,,,,,,,,,,A,,R,R,,R,R,,R,C,,,,,R,,C,,A,C,,,,,C,A,,,R,,R,R,,R,,,,,,,,
2009,19/02/2009,7407,Motutapu,hard,26,11.53846154,80.76923077,3.537815126,A,,,,C,,R,R,,,,,,,,,,,,,,,C,VA,,,,,,,,,,,,,,,,,,,R,,,,,,A,,R,,VA,,,,,C,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,R,,R,A,,,,,,,,,C,VA,,R,C,,,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,R,R,,,,,,,,R,,,
2009,18/02/2009,45605,Mt Auckland,Hard,24,50,120,6.242152466,C,,,,R,,,,,,,,,,,,,,,,,,,R,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,R,,,,,,,R,,,,,A,,R,,R,,,,,C,C,,,,C,VA,,,C,,,,,,,,,,,,,A,R,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,,,C,,,,,,,,
2009,12/02/2009,1043824,Ngakaroa LTB,soft,28,14.28571429,65.92857143,1.821875,C,,,,,,,,,,,,,,,R,,,,A,,R,VVA,,,,,,,R,,,,R,,,,,,,,,,,,,,,R,,,,C,A,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,R,A,,A,R,,,,C,,,,,VVA,VVA,,,R,,,,,,,,,,A,A,R,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,R,,,,VA,,,,,,R,,
2009,5/03/2009,7171,Nukumea Upper,Soft,26,34.61538462,111.0769231,7.818978102,R,,,,,,R,,,,,,,,,R,,,,,R,,,C,,,R,,,,,,,,,,,,,,R,,R,,,,,,,,,,R,R,,,R,,,,,,R,,R,,,,,R,,R,,R,,,,,R,,,,,R,VA,,,,,,,,,,,,,,R,,C,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,R,,,,,,,,
2009,3/03/2009,8177,Oakley LTB,soft,19,15.78947368,56.63157895,2.241783217,C,,R,,,,,,,,,,,,,R,,,,,,,,A,,,C,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,R,VVA,R,,R,,,,,,,,,,A,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,C,R,,,,,,C,,,,,R,,,
2009,11/02/2009,7313,Okura Reserve,soft,29,27.5862069,110.2068966,5.6724846,R,,,,,,,,,,,,,,,R,R,,,,R,R,,A,C,R,C,,,,,,,,,,,,,,R,R,,,,,,,,,,,R,A,,,,C,,,,,C,,R,,,,,C,,,,,,,,,R,,,,,A,VA,,,C,,,,,,,,,,,,,VA,A,,,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,VA,,R,,,,,,
2009,11/02/2009,7314,Okura Trib 1,soft,28,21.42857143,104.3571429,3.465296804,R,,,,,,,,R,,R,,,,,,R,,,,R,R,,A,R,,A,,,,,,,,,,,,,,,R,,,,,,,,,R,,,R,R,,,R,,,,,R,,,,,,,R,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,R,VA,R,C,,,,,,,,,,,A,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,A,,,,,,,,
2009,10/02/2009,7315,Okura Trib 2,soft,17,17.64705882,95.64705882,2.556040268,,,,,,,,,,,,,,,,R,A,R,,,R,C,,A,,,A,,,,,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,VVA,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,A,,,,,,,,
2009,30/01/2009,7726,Onepoto @ Kauri Glen park,soft,23,13.04347826,87.30434783,3.815769231,R,,,,,,,,,,,,,,,R,R,,,,R,,,,,,C,,,,,,,,,,,,,,R,,R,,,,,,,,,,R,C,,,,C,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,A,VA,R,,,,,,,R,R,,,,C,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,VA,,R,,,,,,
2009,2/02/2009,7925,Opanuku LTB,Hard,25,12,80,3.274157303,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,,,A,,,,,R,,,,R,,R,,,,C,,,,,C,,,,,,,VA,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,A,,,A,,,,A,,R,R,,,,,,,,,,,R,R,,,,,,,,,,,VA,,,R,,,,,R,,,,,,,VA,,,,,,C,,,,,,,,,
2009,13/02/2009,8608,Orere A,Hard,41,43.90243902,133.1707317,8.074433657,,,,,R,,C,,C,,,,,,,,,,,,,,,,R,R,,,R,R,,,,,,,,R,,R,,,,,,,,,,,,,R,,,,,R,,,,,R,,R,,,A,R,,,C,,VA,A,C,,,R,C,,,,,A,,,,,,,,A,R,,,,,,,C,,,R,,,,,,,,,,,R,C,,R,R,,,R,,,,,,,,,,A,,R,C,R,,,R,A,A,,,,,C,R,,,,,R,,,,,
2009,13/02/2009,8609,Orere B,Hard,44,36.36363636,128.1818182,7.528046422,R,,,,R,,A,R,A,,,,,,,R,,,,,,,,,A,,,,R,R,R,,,,,,,R,,,,R,,,,,,,,,,,,R,,,,R,,,,,C,,A,,,A,R,,,C,,A,VA,A,,,C,A,,,,,A,,,R,,,,,A,R,,,,,,,C,,,,,,,,,,,,,,C,A,,,C,,R,R,,R,,,R,R,,,,A,,R,C,R,,,,A,VA,,,,,R,,,,,,,,,,,
2009,5/03/2009,7172,Otanerua,Soft,22,36.36363636,115.1818182,6.546153846,C,,,,,,,,,,,,,,,R,,,,,,,,C,R,,C,,,,,,,,,,,R,,,R,,,,,,,,,,,,R,C,,,,R,,,,,R,,,,,,,R,,R,,,,,,,R,,,,,R,A,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,R,,,,,,,,
2009,18/02/2009,8241,Otara LTB,soft,25,8,45.76,2.1239819,C,,R,,,,,,,,,,,,,R,,,,C,R,,R,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,R,C,,,C,,A,VA,,,A,,,,,,R,,,,VA,VA,A,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,A,,,
2009,29/01/2009,107801,Oteha LTB,soft,22,4.545454545,65.18181818,2.430921053,R,,,,,,,,,,,,,,,R,R,,,,,,,,,,R,,,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,A,,,R,,R,VA,R,,R,,,,,,R,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,C
2009,18/02/2009,1043825,Papakura LTB,soft,23,8.695652174,51.82608696,2.027503526,R,,R,,,,,,,,,,,,,,,,,R,R,,,A,,,C,,,,,,,,,,,,,,R,,,,,,,,,,,,A,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,R,,R,,,,R,,,,,,A,VVA,R,,C,,,,,,,,,,R,R,A,,,,,,,,,,,,,,,,,,,,,,,,,,VA,C,,,,,,,,,,,R,,,
2009,18/02/2009,1043826,Puhinui LTB,Soft,21,4.761904762,37.33333333,1.503543307,R,,A,,,,,,,,,,,,,,,,,C,R,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,,R,A,,,A,,C,A,,,C,,,,,,,R,,,A,A,VA,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,
2009,28/01/2009,1043827,Puhinui Trib (soft),soft,23,17.39130435,81.56521739,2.801380176,C,,R,,,,,,,,,,,,,R,,,,A,C,,R,,,,,,,,,,,,,,,,,,A,,,,,,,,,,R,,,R,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,R,R,,,,,,,,,R,,,,,,A,VVA,,R,C,,,,,R,,,,,C,VA,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,
2009,28/01/2009,1043828,Puhinui Upper (hard),Hard,33,24.24242424,96.96969697,6.391035549,R,,,,R,,,,R,,,,,,,R,,,,,,,R,A,R,,,,R,,,R,,,,,,,,,,R,R,,,,C,,R,,,,R,R,,,,A,,,,,,,A,,,,,,,VA,,R,,,,,A,,,,,,A,,,R,,,,,,R,,,A,,,,VVA,R,,C,,,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,VVA,,,,R,,A,,C,,,,,,,,
2009,26/02/2009,7012,Puhoi,soft,24,37.5,130.4166667,7.710240964,R,,,,,,,,,,,,,,,,R,,,,,R,,,A,C,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,C,,,,R,,,,,R,,,,,,,C,,R,,,,,R,,C,,,,,R,VA,,,C,,,,,,,,,,,,,C,,,,,,,,R,,,,,,R,,,R,R,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,
2009,3/02/2009,45371,Riverhead,soft,33,21.21212121,104.1818182,4.052888889,R,,,,,,,R,,,,,,,,R,,,,,R,R,R,A,R,R,C,,,,,,,,,,,R,,,C,,,,,,,,,,,,R,C,,,,R,,,,,R,,R,,,,,R,,,,,,,,,,,,,,A,C,,,C,,,,,,,,R,C,,,,VA,C,,,,,,,R,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,A,,R,,,,C,,
